PerceptualScore	PhysicalScore
0.009471429	-1.3
0.008	-0.6
0.0138	-0.3
0.042171429	0.7
0.051371429	1
0.0854	1.9
0.089728571	2.18
0.005557143	-1.3
0.006942857	-0.6
0.009314286	-0.3
0.035628571	0.7
0.057828571	1
0.066771429	1.9
0.082228571	2.18
0.004557143	-1.3
0.004528571	-0.6
0.008228571	-0.3
0.031357143	0.7
0.039185714	1
0.066628571	1.9
0.076228571	2.18
0.003414286	-1.3
0.006771429	-0.6
0.007385714	-0.3
0.0295	0.7
0.0323	1
0.052057143	1.9
0.073542857	2.18
